date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:46:45	5341/5341	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Oct%202017%2020:48:59%20GMT	http://cdn.shopify.com/s/assets/shop_events_listener-f2c5800305098f0ebebdfa7d980c9abf56514c46d5305e97a7c476f7c9116163.js	C:/My%20Web%20Sites/Jwellery2/cdn.shopify.com/s/assets/shop_events_listener-f2c5800305098f0ebebdfa7d980c9abf56514c46d5305e97a7c476f7c9116163.js	(from https://cs-utc-jewelry.myshopify.com/)
17:46:46	116/116	---MC-	302	error ('Found')	text/html	date:Thu,%2015%20Feb%202018%2012:16:48%20GMT	https://cs-utc-jewelry.myshopify.com/account	C:/My%20Web%20Sites/Jwellery2/cs-utc-jewelry.myshopify.com/account	(from https://cs-utc-jewelry.myshopify.com/)
17:46:46	64695/64695	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202018%2012:16:48%20GMT	https://cs-utc-jewelry.myshopify.com/account/login	C:/My%20Web%20Sites/Jwellery2/cs-utc-jewelry.myshopify.com/account/login.html	(from https://cs-utc-jewelry.myshopify.com/)
17:46:47	62299/62299	---MCZ	200	added ('OK')	text/html	etag:cacheable:fbb2dfc49cfdc4735afc8bc318715ec4	https://cs-utc-jewelry.myshopify.com/account/register	C:/My%20Web%20Sites/Jwellery2/cs-utc-jewelry.myshopify.com/account/register.html	(from https://cs-utc-jewelry.myshopify.com/)
17:46:47	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://cs-utc-jewelry.myshopify.com/pages/wish-list	C:/My%20Web%20Sites/Jwellery2/cs-utc-jewelry.myshopify.com/pages/wish-list	(from https://cs-utc-jewelry.myshopify.com/)
17:46:48	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://cs-utc-jewelry.myshopify.com/cart	C:/My%20Web%20Sites/Jwellery2/cs-utc-jewelry.myshopify.com/cart	(from https://cs-utc-jewelry.myshopify.com/)
17:46:48	158892/158892	---MCZ	200	added ('OK')	text/html	etag:cacheable:8f1833ca3817269aa3830882a1067912	https://cs-utc-jewelry.myshopify.com/collections/all	C:/My%20Web%20Sites/Jwellery2/cs-utc-jewelry.myshopify.com/collections/all.html	(from https://cs-utc-jewelry.myshopify.com/)
17:46:49	177195/177195	---MCZ	200	added ('OK')	text/html	etag:cacheable:dc7b62947160aa4828960d6276090145	https://cs-utc-jewelry.myshopify.com/products/curabitur-cursus-dignis	C:/My%20Web%20Sites/Jwellery2/cs-utc-jewelry.myshopify.com/products/curabitur-cursus-dignis.html	(from https://cs-utc-jewelry.myshopify.com/)
17:46:49	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://cs-utc-jewelry.myshopify.com/products/donec-aliquam-ante-non	C:/My%20Web%20Sites/Jwellery2/cs-utc-jewelry.myshopify.com/products/donec-aliquam-ante-non	(from https://cs-utc-jewelry.myshopify.com/)
17:46:50	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://cs-utc-jewelry.myshopify.com/products/gravida-est-quis-euismod	C:/My%20Web%20Sites/Jwellery2/cs-utc-jewelry.myshopify.com/products/gravida-est-quis-euismod	(from https://cs-utc-jewelry.myshopify.com/)
